supplier,unit_cost,quantity,region
Globex,60.99878835385281,45.0,EU
Initech,48.735653397249095,387.0,APAC
Initech,51.13637669660988,327.0,US
Acme Corp,56.31318796627394,220.0,APAC
Initech,53.23999714876507,217.0,EU
Globex,54.28439904650578,429.0,US
Acme Corp,59.86099035484124,43.0,US
Globex,50.422866893249775,348.0,EU
Initech,64.69156176277967,101.0,US
Initech,63.30302263625438,47.0,US
Initech,56.05464800912993,263.0,EU
Globex,48.70768741571537,487.0,APAC
Initech,62.922646622112666,368.0,US
Globex,56.02885539654248,380.0,US
Initech,51.912568732617075,359.0,US
Globex,56.40888966628793,393.0,EU
Acme Corp,50.53404731161098,257.0,APAC
Acme Corp,60.17836977830951,64.0,APAC
Acme Corp,50.133508452729885,420.0,APAC
Acme Corp,51.97544987918662,225.0,APAC
Globex,61.39510357618518,250.0,US
Globex,69.0840502405052,186.0,US
Acme Corp,66.46792211621501,92.0,EU
Globex,48.01752454053112,463.0,APAC
Globex,49.8207623732683,391.0,APAC
Acme Corp,62.86496062986554,322.0,US
Globex,57.597355868930606,201.0,US
Globex,58.11228149047302,411.0,US
Globex,59.43654860818457,273.0,US
Globex,56.815632845830216,222.0,EU
Initech,52.16652477620238,225.0,EU
Acme Corp,51.36173002676412,114.0,EU
Globex,55.78806625603483,46.0,US
Globex,46.99046354804157,277.0,APAC
Acme Corp,49.28529886024266,444.0,EU
Initech,55.18723365340495,32.0,APAC
Acme Corp,56.16892464971807,429.0,APAC
Acme Corp,61.16397347962919,413.0,US
Initech,58.37163553463349,139.0,US
Initech,52.07083380980383,316.0,APAC
Initech,56.711687054598706,83.0,EU
Initech,56.28254464783962,379.0,US
Initech,53.74130259766153,350.0,EU
Globex,58.93668446790157,177.0,EU
Initech,54.96296606446394,34.0,APAC
Acme Corp,59.55540613093743,485.0,US
Globex,47.97224709543038,223.0,APAC
Globex,48.10535624944907,446.0,APAC
Initech,68.61069490638333,339.0,US
Initech,58.1123189705011,389.0,US
